Date - 05-MAY-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number - MU25048001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Name - Count & Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number - 1.9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,For Research Use Only. Not for use in diagnostic procedures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cell Count Information,,Cell Concentration Information(cells/mL),,% of Total Information,,Mean Fluorescence (YEL) Information,,Median Fluorescence (YEL) Information,,%CV Fluorescence (YEL) Information,,Mean Fluorescence (RED) Information,,Median Fluorescence (RED) Information,,%CV Fluorescence (RED) Information,,Mean (FSC) Information,,Median (FSC) Information,,%CV (FSC) Information,,,,,,,,,,,Viability Marker,,,,,,,,,,,,,,,,,,
 Sample No., Sample ID, Number of Events, Dilution Factor, Original Volume, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Total Cell Concentration (cells/mL), Total Viable Cells in Original Sample, Total Dead Cells in Original Sample, Total Cells in Original Sample, FSC Count, RED Count, Viable Cell Count, Nucleated Cell Count, Dead Cell Count, X1, Angle 1, Cells/µL, Total Volume Acquired (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, Date of Analysis, Time of Analysis, FSC Gain, YEL Gain, RED Gain, FSC Threshold, YEL Threshold, RED Threshold, Flow Rate (µL/sec), User Login Name, User Full Name,
1, shake1,1000,40,1,495,505,2443165.5,2492522.25,49.5,50.5,1.9,44.57,1.6,49.76,57.58,124.56,83.7,93.64,75.07,87.74,51,82.37,305.38,145.75,272.39,80.68,50.17,114.97,4935687.5,2443165.5,2492522.25,4935687.5,1000,1013,495,1000,505,0.057,43.45,125,8.1,13.74, 05-MAY-2025, 11:44:28, 05-MAY-2025, 11:44:28,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
2, shake1_1,1000,40,1,489,511,2480734.75,2592342.5,48.9,51.1,1.98,45.54,1.62,50.75,73.54,135.49,85.72,94.39,74.58,90.33,66.34,75.82,308.71,150.91,271.84,78.79,57.83,112.49,5073077.5,2480734.75,2592342.5,5073077.5,1000,1010,489,1000,511,0.057,43.45,128.1,7.88,13.36, 05-MAY-2025, 11:46:51, 05-MAY-2025, 11:46:51,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
3,shake2,1000,40,1,511,489,2494891.75,2387479.5,51.1,48.9,1.94,41.35,1.57,40.07,86.52,136.47,83.21,100.86,68.14,86.46,77.35,153.67,304.87,181.46,268.5,95.14,57.38,146.61,4882371,2494891.75,2387479.5,4882371,1000,1007,511,1000,489,0.057,43.45,122.91,8.19,13.89, 05-MAY-2025, 11:45:13, 05-MAY-2025, 11:45:13,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
4, shake2_2,1000,40,1,489,511,2099723.75,2194190,48.9,51.1,1.88,39.59,1.58,44.78,68.75,74.78,84.48,98.86,69.4,88.96,73,96.64,298.02,162.41,253.28,94.87,66.85,127.47,4293914,2099723.75,2194190,4293914,1000,1012,489,1000,511,0.057,43.45,108.64,9.32,15.79, 05-MAY-2025, 11:47:40, 05-MAY-2025, 11:47:40,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
5, shake3,1000,40,1,511,489,2350662.75,2249460,51.1,48.9,1.95,42.92,1.63,50.82,76.28,64.61,87.4,95.43,71.33,90.19,73.84,87.33,315.65,146.7,274.49,82.51,54.58,125.42,4600122.5,2350662.75,2249460,4600122.5,1000,1004,511,1000,489,0.057,43.45,115.46,8.7,14.74, 05-MAY-2025, 11:46:03, 05-MAY-2025, 11:46:03,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
6, shake3_3,1000,40,1,505,495,2343414.5,2297010.25,50.5,49.5,1.97,43.77,1.64,51.29,106.03,69.01,88.49,104.35,75.42,90.55,76.29,128.4,317.96,151.91,277.33,82.99,58.99,150.61,4640424.5,2343414.5,2297010.25,4640424.5,1000,1004,505,1000,495,0.057,43.45,116.47,8.62,14.61, 05-MAY-2025, 11:48:22, 05-MAY-2025, 11:48:22,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
7, n1_1,1000,40,1,164,836,834044.19,4251591,16.4,83.6,1.92,51.53,1.68,54.22,49.29,63.26,76.91,92.07,72.01,88.61,51.17,56.04,316.31,92.92,288.58,49.85,49.12,140.07,5085635.5,834044.19,4251591,5085635.5,1000,1082,164,1000,836,0.057,43.45,137.57,7.87,13.33, 05-MAY-2025, 11:49:12, 05-MAY-2025, 11:49:12,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
8, n1_2,1000,40,1,212,788,1158449.38,4305934.5,21.2,78.8,2.03,53.32,1.68,54.79,82.02,88.79,81.74,93.39,73.93,90.84,57.71,55.18,321.77,96.63,276.63,49.82,49.12,122.61,5464383.5,1158449.38,4305934.5,5464383.5,1000,1077,212,1000,788,0.057,43.45,147.13,7.32,12.41, 05-MAY-2025, 11:49:55, 05-MAY-2025, 11:49:55,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
9, n2_1,1000,40,1,251,749,719107,2145861.25,25.1,74.9,1.88,48.92,1.55,49.95,78.4,101.66,82.08,89.82,71.43,84.75,62.48,68.75,318.56,111.93,280.3,58.26,48.42,131.12,2864968.25,719107,2145861.25,2864968.25,1000,1026,251,1000,749,0.057,43.45,73.49,13.96,23.66, 05-MAY-2025, 11:51:00, 05-MAY-2025, 11:51:00,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
