Date - 09-JUL-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number - MU25048001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Name - Count & Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number - 1.9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,For Research Use Only. Not for use in diagnostic procedures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cell Count Information,,Cell Concentration Information(cells/mL),,% of Total Information,,Mean Fluorescence (YEL) Information,,Median Fluorescence (YEL) Information,,%CV Fluorescence (YEL) Information,,Mean Fluorescence (RED) Information,,Median Fluorescence (RED) Information,,%CV Fluorescence (RED) Information,,Mean (FSC) Information,,Median (FSC) Information,,%CV (FSC) Information,,,,,,,,,,,Viability Marker,,,,,,,,,,,,,,,,,,
 Sample No., Sample ID, Number of Events, Dilution Factor, Original Volume, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Total Cell Concentration (cells/mL), Total Viable Cells in Original Sample, Total Dead Cells in Original Sample, Total Cells in Original Sample, FSC Count, RED Count, Viable Cell Count, Nucleated Cell Count, Dead Cell Count, X1, Angle 1, Cells/µL, Total Volume Acquired (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, Date of Analysis, Time of Analysis, FSC Gain, YEL Gain, RED Gain, FSC Threshold, YEL Threshold, RED Threshold, Flow Rate (µL/sec), User Login Name, User Full Name,
1, N1,1000,40,1,204,796,2027041.88,7909438,20.4,79.6,3.15,45.78,1.81,19.47,165.37,296.1,105.76,158.47,62.18,83.06,156.05,265.91,70.5,148.53,32.73,56.04,140.09,190.58,9936480,2027041.88,7909438,9936480,1000,1189,204,1000,796,0.057,43.45,295.36,4.03,6.82, 09-JUL-2025, 12:36:32, 09-JUL-2025, 12:36:32,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
2, N2,1000,40,1,127,873,4449699.5,30587306,12.7,87.3,2.03,41.06,1.86,40.62,44.46,69.12,71.8,85.32,61.99,75.93,49.39,63.48,430.49,183.86,429.41,107.33,37.36,104.07,35037004,4449699.5,30587306,35037004,1000,1022,127,1000,873,0.057,43.45,895.2,1.14,1.94, 09-JUL-2025, 12:37:59, 09-JUL-2025, 12:37:59,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
3, N3,1000,40,1,126,874,316243.59,2193626.25,12.6,87.4,2.43,51.83,1.78,44.85,101.97,147.16,101.78,113.48,84.57,86.6,79.68,134.64,438.14,164.75,411.76,84.75,49.94,135.06,2509869.75,316243.59,2193626.25,2509869.75,1000,1020,126,1000,874,0.057,43.45,64,15.94,27.01, 09-JUL-2025, 12:39:18, 09-JUL-2025, 12:39:18,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
4, N4,1000,40,1,187,813,3178231.5,13817659,18.7,81.3,2.02,46.27,1.61,40.74,67.09,104.74,71.98,99.04,62.29,79.3,64.71,96.78,548.03,326.59,472.74,208.3,56.18,107.37,16995890,3178231.5,13817659,16995890,1000,1014,187,1000,813,0.057,43.45,430.85,2.35,3.99, 09-JUL-2025, 12:45:44, 09-JUL-2025, 12:45:44,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
5, N5,1000,40,1,148,852,1079261.88,6213048,14.8,85.2,1.64,54.82,1.5,45.86,42.16,85.73,80.7,106.7,71.15,84.25,51.69,85.18,369.49,118.78,351.73,65.78,42.52,125.61,7292310,1079261.88,6213048,7292310,1000,1015,148,1000,852,0.057,43.45,185.04,5.49,9.3, 09-JUL-2025, 12:46:58, 09-JUL-2025, 12:46:58,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
6, N6,1000,40,1,108,892,985203.69,8137052.5,10.8,89.2,1.85,32.34,1.68,30.66,48.71,53.93,69.44,63.27,62.16,56.4,53.13,57.96,388.19,96.71,352.32,51.24,52.5,143.76,9122256,985203.69,8137052.5,9122256,1000,1014,108,1000,892,0.057,43.45,231.25,4.38,7.43, 09-JUL-2025, 12:51:30, 09-JUL-2025, 12:51:30,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
7, N8,1000,20,1,200,800,676815.5,2707262,20,80,1.85,36.9,1.62,36.14,56.44,58.68,73.49,76.54,58.47,68.23,61.05,56.51,345.36,138.97,317.32,78.94,40.86,139.3,3384077.25,676815.5,2707262,3384077.25,1000,1016,200,1000,800,0.057,43.45,171.91,5.91,10.02, 09-JUL-2025, 13:10:22, 09-JUL-2025, 13:10:22,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
8, N7,1000,40,1,190,810,781066.88,3329811.5,19,81,1.9,44.84,1.59,43.32,56.26,67.1,88.77,88.68,71.44,79.64,57.76,65.5,359.57,88.73,325.01,47.27,51.86,143.3,4110878.25,781066.88,3329811.5,4110878.25,1000,1015,190,1000,810,0.057,43.45,104.31,9.73,16.49, 09-JUL-2025, 12:52:42, 09-JUL-2025, 12:52:42,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
9, S1,1000,40,1,226,774,753629.06,2581013,22.6,77.4,1.61,41.03,1.45,40.56,55.92,65.4,65.02,84.82,55.41,78.05,48.67,64.23,279.78,113.72,259.34,77.94,78.96,94.05,3334642,753629.06,2581013,3334642,1000,1009,226,1000,774,0.057,43.45,84.12,12,20.33, 09-JUL-2025, 12:55:36, 09-JUL-2025, 12:55:36,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
